w00,w10,fitness
0.0,14.5,0.0000
1.0,14.5,0.0000
1.5,14.5,0.0000
2.0,14.5,0.0000
2.5,14.5,0.0000
3.0,14.5,0.0000
3.5,14.5,0.0000
4.0,14.5,0.0000
4.5,14.5,0.0000
5.0,14.5,0.0000
5.5,14.5,0.0000
6.5,14.5,0.0000
7.5,14.5,0.0000
6.0,14.5,0.0000
7.0,14.5,0.0000
8.0,14.5,0.0000
8.5,14.5,0.0000
9.0,14.5,0.0000
9.5,14.5,0.0000
10.0,14.5,0.0000
10.5,14.5,0.0000
11.0,14.5,0.0000
12.0,14.5,0.0000
11.5,14.5,0.0000
12.5,14.5,0.0000
13.0,14.5,0.0000
13.5,14.5,0.0000
14.0,14.5,0.0000
14.5,14.5,0.0000
15.0,14.5,0.0000
15.5,14.5,0.0000
16.0,14.5,0.0000
-15.5,15.0,0.0000
-16.0,15.0,0.0000
-15.0,15.0,0.0000
-14.5,15.0,0.0000
-14.0,15.0,0.0000
-13.5,15.0,0.0000
-13.0,15.0,0.0000
-12.5,15.0,0.0000
-12.0,15.0,0.0000
-11.5,15.0,0.0000
-11.0,15.0,0.0000
-10.5,15.0,0.0000
-10.0,15.0,0.0000
-9.0,15.0,0.0000
-9.5,15.0,0.0000
-8.5,15.0,0.0000
-8.0,15.0,0.0000
-7.5,15.0,0.0000
-7.0,15.0,0.0000
-5.5,15.0,0.0000
-6.0,15.0,0.0000
-6.5,15.0,0.0000
-5.0,15.0,0.0000
-4.5,15.0,0.0000
-4.0,15.0,0.0000
-3.5,15.0,0.0000
-3.0,15.0,0.0000
-2.5,15.0,0.0000
-1.0,15.0,0.0000
-2.0,15.0,0.0000
-1.5,15.0,0.0000
0.0,15.0,0.0000
-0.5,15.0,0.0000
0.5,15.0,0.0000
1.0,15.0,0.0000
1.5,15.0,0.0000
2.0,15.0,0.0000
2.5,15.0,0.0000
3.0,15.0,0.0000
3.5,15.0,0.0000
4.0,15.0,0.0000
4.5,15.0,0.0000
5.0,15.0,0.0000
6.0,15.0,0.0000
5.5,15.0,0.0000
6.5,15.0,0.0000
7.0,15.0,0.0000
7.5,15.0,0.0000
8.0,15.0,0.0000
8.5,15.0,0.0000
9.0,15.0,0.0000
10.0,15.0,0.0000
9.5,15.0,0.0000
11.0,15.0,0.0000
10.5,15.0,0.0000
11.5,15.0,0.0000
12.0,15.0,0.0000
12.5,15.0,0.0000
13.0,15.0,0.0000
13.5,15.0,0.0000
14.0,15.0,0.0000
14.5,15.0,0.0000
15.0,15.0,0.0000
15.5,15.0,0.0000
16.0,15.0,0.0000
-16.0,15.5,0.0000
-15.5,15.5,0.0000
-15.0,15.5,0.0000
-14.0,15.5,0.0000
-14.5,15.5,0.0000
-13.0,15.5,0.0000
-13.5,15.5,0.0000
-12.5,15.5,0.0000
-12.0,15.5,0.0000
-11.5,15.5,0.0000
-11.0,15.5,0.0000
-10.5,15.5,0.0000
-10.0,15.5,0.0000
-9.5,15.5,0.0000
-8.5,15.5,0.0000
-9.0,15.5,0.0000
-8.0,15.5,0.0000
-7.5,15.5,0.0000
-7.0,15.5,0.0000
-6.5,15.5,0.0000
-6.0,15.5,0.0000
-5.5,15.5,0.0000
-5.0,15.5,0.0000
-4.5,15.5,0.0000
-3.5,15.5,0.0000
-4.0,15.5,0.0000
-3.0,15.5,0.0000
-2.5,15.5,0.0000
-2.0,15.5,0.0000
-1.5,15.5,0.0000
-1.0,15.5,0.0000
-0.5,15.5,0.0000
0.0,15.5,0.0000
0.5,15.5,0.0000
1.0,15.5,0.0000
1.5,15.5,0.0000
2.0,15.5,0.0000
2.5,15.5,0.0000
3.0,15.5,0.0000
3.5,15.5,0.0000
4.0,15.5,0.0000
4.5,15.5,0.0000
5.0,15.5,0.0000
5.5,15.5,0.0000
6.0,15.5,0.0000
6.5,15.5,0.0000
7.0,15.5,0.0000
7.5,15.5,0.0000
8.0,15.5,0.0000
8.5,15.5,0.0000
9.0,15.5,0.0000
9.5,15.5,0.0000
11.5,15.5,0.0000
10.0,15.5,0.0000
10.5,15.5,0.0000
11.0,15.5,0.0000
12.0,15.5,0.0000
12.5,15.5,0.0000
13.5,15.5,0.0000
13.0,15.5,0.0000
14.0,15.5,0.0000
14.5,15.5,0.0000
-16.0,16.0,0.0000
15.0,15.5,0.0000
15.5,15.5,0.0000
16.0,15.5,0.0000
-15.5,16.0,0.0000
-14.5,16.0,0.0000
-15.0,16.0,0.0000
-14.0,16.0,0.0000
-13.5,16.0,0.0000
-13.0,16.0,0.0000
-11.5,16.0,0.0000
-12.5,16.0,0.0000
-12.0,16.0,0.0000
-11.0,16.0,0.0000
-10.5,16.0,0.0000
-10.0,16.0,0.0000
-9.5,16.0,0.0000
-9.0,16.0,0.0000
-8.5,16.0,0.0000
-8.0,16.0,0.0000
-7.5,16.0,0.0000
-6.5,16.0,0.0000
-5.5,16.0,0.0000
-7.0,16.0,0.0000
-6.0,16.0,0.0000
-5.0,16.0,0.0000
-4.5,16.0,0.0000
-3.5,16.0,0.0000
-4.0,16.0,0.0000
-2.5,16.0,0.0000
-3.0,16.0,0.0000
-1.5,16.0,0.0000
-2.0,16.0,0.0000
-1.0,16.0,0.0000
-0.5,16.0,0.0000
0.0,16.0,0.0000
0.5,16.0,0.0000
1.0,16.0,0.0000
1.5,16.0,0.0000
2.5,16.0,0.0000
2.0,16.0,0.0000
3.0,16.0,0.0000
4.0,16.0,0.0000
4.5,16.0,0.0000
3.5,16.0,0.0000
5.0,16.0,0.0000
5.5,16.0,0.0000
6.0,16.0,0.0000
6.5,16.0,0.0000
7.5,16.0,0.0000
7.0,16.0,0.0000
9.0,16.0,0.0000
8.0,16.0,0.0000
9.5,16.0,0.0000
8.5,16.0,0.0000
10.5,16.0,0.0000
10.0,16.0,0.0000
11.5,16.0,0.0000
11.0,16.0,0.0000
13.0,16.0,0.0000
12.5,16.0,0.0000
13.5,16.0,0.0000
12.0,16.0,0.0000
14.0,16.0,0.0000
14.5,16.0,0.0000
16.0,16.0,0.0000
15.0,16.0,0.0000
15.5,16.0,0.0000
